Customer_ID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,rfm_segment,segment
18102.0,2,145,608821.65,5,5,5,555,55,champions
14646.0,3,151,528602.52,5,5,5,555,55,champions
14156.0,11,156,313759.82,5,5,5,555,55,champions
14911.0,2,398,295832.39,5,5,5,555,55,champions
17450.0,9,51,246813.09,5,5,5,555,55,champions
13694.0,5,143,196482.81,5,5,5,555,55,champions
17511.0,4,60,175603.55,5,5,5,555,55,champions
16684.0,5,55,147142.77,5,5,5,555,55,champions
15061.0,5,127,137818.52,5,5,5,555,55,champions
17949.0,2,118,118628.08,5,5,5,555,55,champions
13089.0,4,203,116647.53,5,5,5,555,55,champions
15311.0,2,208,116575.49,5,5,5,555,55,champions
14298.0,9,82,91194.49,5,5,5,555,55,champions
15769.0,8,46,88704.32,5,5,5,555,55,champions
13798.0,2,110,75836.87,5,5,5,555,55,champions
15838.0,12,34,74163.0,5,5,5,555,55,champions
17841.0,3,211,70081.86,5,5,5,555,55,champions
14096.0,5,17,65164.79,5,5,5,555,55,champions
14088.0,11,16,64036.8,5,5,5,555,55,champions
16422.0,18,109,63589.07,5,5,5,555,55,champions
13081.0,13,28,59205.15,5,5,5,555,55,champions
17389.0,2,61,57215.33,5,5,5,555,55,champions
16013.0,5,84,57140.44,5,5,5,555,55,champions
13777.0,2,61,56478.42,5,5,5,555,55,champions
12748.0,2,336,55511.09,5,5,5,555,55,champions
13408.0,3,106,51733.462,5,5,5,555,55,champions
17404.0,5,23,47781.12,5,5,5,555,55,champions
13881.0,5,43,45179.1,5,5,5,555,55,champions
16705.0,2,42,43515.051,5,5,5,555,55,champions
14031.0,8,44,40919.58,5,5,5,555,55,champions
17381.0,10,38,40002.37,5,5,5,555,55,champions
12471.0,3,79,39918.19,5,5,5,555,55,champions
15039.0,11,93,39726.89,5,5,5,555,55,champions
16210.0,3,35,38489.51,5,5,5,555,55,champions
17675.0,2,70,38259.6,5,5,5,555,55,champions
17677.0,3,54,36675.06,5,5,5,555,55,champions
12921.0,10,74,35921.04,5,5,5,555,55,champions
13767.0,3,73,35540.53,5,5,5,555,55,champions
15856.0,5,52,33847.27,5,5,5,555,55,champions
16779.0,3,53,33165.94,5,5,5,555,55,champions
14258.0,10,25,32051.34,5,5,5,555,55,champions
17428.0,2,45,31819.760000000002,5,5,5,555,55,champions
12681.0,16,45,30868.28,5,5,5,555,55,champions
12709.0,16,34,30814.46,5,5,5,555,55,champions
14606.0,2,192,30558.25,5,5,5,555,55,champions
13078.0,4,57,29532.45,5,5,5,555,55,champions
13098.0,2,28,28882.44,5,5,5,555,55,champions
17857.0,5,24,28682.24,5,5,5,555,55,champions
14527.0,4,122,27764.21,5,5,5,555,55,champions
16333.0,9,22,26626.8,5,5,5,555,55,champions
15498.0,4,44,25949.58,5,5,5,555,55,champions
14062.0,11,24,25585.65,5,5,5,555,55,champions
14895.0,9,38,25119.54,5,5,5,555,55,champions
12621.0,3,35,24775.81,5,5,5,555,55,champions
16525.0,3,48,24562.74,5,5,5,555,55,champions
17920.0,5,54,24256.74,5,5,5,555,55,champions
13001.0,5,33,24042.65,5,5,5,555,55,champions
12682.0,5,52,24025.51,5,5,5,555,55,champions
15640.0,5,29,23828.03,5,5,5,555,55,champions
14607.0,17,22,23763.13,5,5,5,555,55,champions
16133.0,5,56,22992.260000000002,5,5,5,555,55,champions
14051.0,2,37,22394.4,5,5,5,555,55,champions
16839.0,10,44,22310.49,5,5,5,555,55,champions
15159.0,3,34,22116.73,5,5,5,555,55,champions
13319.0,6,58,22082.5,5,5,5,555,55,champions
14667.0,12,54,21593.05,5,5,5,555,55,champions
15615.0,11,47,21373.97,5,5,5,555,55,champions
14866.0,12,19,20850.22,5,5,5,555,55,champions
17706.0,5,31,20749.98,5,5,5,555,55,champions
12433.0,2,10,20581.26,5,5,5,555,55,champions
17243.0,2,69,20460.48,5,5,5,555,55,champions
15251.0,10,21,20324.54,5,5,5,555,55,champions
17139.0,17,25,19566.76,5,5,5,555,55,champions
17581.0,2,43,18737.95,5,5,5,555,55,champions
12557.0,17,8,18716.14,5,4,5,545,54,champions
14194.0,6,36,18670.59,5,5,5,555,55,champions
13113.0,2,37,18603.04,5,5,5,555,55,champions
16746.0,6,42,18046.75,5,5,5,555,55,champions
15078.0,8,53,17761.88,5,5,5,555,55,champions
12901.0,10,28,17654.54,5,5,5,555,55,champions
15189.0,2,46,17524.38,5,5,5,555,55,champions
18172.0,16,52,17467.24,5,5,5,555,55,champions
17735.0,3,26,17244.93,5,5,5,555,55,champions
14277.0,16,9,17197.61,5,5,5,555,55,champions
15358.0,6,42,17050.41,5,5,5,555,55,champions
13199.0,5,67,16432.89,5,5,5,555,55,champions
14961.0,12,22,16410.15,5,5,5,555,55,champions
13225.0,4,16,16260.07,5,5,5,555,55,champions
18092.0,3,18,16179.44,5,5,5,555,55,champions
